date,id,from,to
27/08/19,0,13:00,16:30
20/08/19,0,13:00,16:30
31/08/19,0,13:00,16:30
01/09/19,0,13:00,16:30
28/08/19,2,20:00,21:00
09/09/19,9,18:00,18:42
13/09/19,8,17:00,20:00
16/09/19,9,10:30,12:30
21/09/19,4,10:00,11:30
20/09/19,8,14:00,16:00
27/09/19,8,14:00,20:00
29/09/19,9,16:00,17:00
30/09/19,4,20:30,23:00
02/10/19,4,19:30,22:30
26/09/19,0,19:00,21:00
02/10/19,1,20:00,22:00
05/10/19,1,14:00,18:00
11/10/19,5,19:00,22:00
03/10/19,0,19:00,21:00
07/10/19,7,10:30,11:30
07/10/19,9,17:30,20:00
10/10/19,8,16:00,19:00
11/10/19,8,14:00,18:00
